CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis,share_cnae,share_uf,log_valor_medio,log_valor_total,log_count,diversidade_orgaos,densidade_mei,target
7420004,RJ,1,315334.0,315334.0,1,1,0.004497751124437781,0.024777085141639708,12.6613908447642,12.6613908447642,0.6931471805599453,0.008403361344537815,1.0,0
4752100,PE,1,360000.0,360000.0,1,1,0.0032352244930166497,0.015781582892764143,12.793862088206213,12.793862088206213,0.6931471805599453,0.008403361344537815,1.0,0
4520003,RN,1,14295000.0,14295000.0,1,1,0.004024303637654857,0.012940897972066599,16.475420453693076,16.475420453693076,0.6931471805599453,0.008403361344537815,1.0,0
3702900,PR,3,1419810.0,473270.0,3,1,0.0005523554012467451,0.09776690602067388,13.067423442096581,14.16603432212749,1.3862943611198906,0.025210084033613446,0.3333333333333333,0
7420004,SE,2,338400.0,169200.0,2,2,0.004497751124437781,0.006786080643888582,12.03884263630228,12.731986861792581,1.0986122886681098,0.01680672268907563,1.0,0
9700500,GO,2,374200.0,187100.0,2,2,0.0013414345458849523,0.0982403535074568,12.139403856983334,12.832548365186273,1.0986122886681098,0.01680672268907563,1.0,0
9002702,SC,2,540405.0,270202.5,2,2,0.0009468949735658487,0.043951708356348144,12.506930657792218,13.200075987893294,1.0986122886681098,0.01680672268907563,1.0,0
1412601,76270000,3,699890.0,233296.66666666663,2,1,0.004103211552118678,0.00039453957231910363,12.360070456530732,13.4586798876151,1.3862943611198906,0.01680672268907563,0.3333333333333333,0
3299002,GO,3,15000.0,5000.0,1,1,0.0012625266314211315,0.0982403535074568,8.517393171418904,9.61587214452889,1.3862943611198906,0.008403361344537815,0.3333333333333333,0
7319002,JARDIM GOIAS,1,109740.0,109740.0,1,1,0.01538704332044504,7.890791446382072e-05,11.605878323019052,11.605878323019052,0.6931471805599453,0.008403361344537815,1.0,0
9521500,MT,2,38000.0,19000.0,1,1,0.004734474867829243,0.004576659038901602,9.852246888342531,10.545367754151743,1.0986122886681098,0.008403361344537815,0.5,0
8592902,74655130,1,20300.0,20300.0,1,1,0.005681369841395092,7.890791446382072e-05,9.918425424900335,9.918425424900335,0.6931471805599453,0.008403361344537815,1.0,0
2740602,PR,1,93645.0,93645.0,1,1,7.890791446382072e-05,0.09776690602067388,11.447276994733667,11.447276994733667,0.6931471805599453,0.008403361344537815,1.0,0
3314709,SP,1,110000.0,110000.0,1,1,7.890791446382072e-05,0.25392566874457506,11.608244735642321,11.608244735642321,0.6931471805599453,0.008403361344537815,1.0,0
2532201,SC,1,85000.0,85000.0,1,1,0.00047344748678292435,0.043951708356348144,11.350418300109132,11.350418300109132,0.6931471805599453,0.008403361344537815,1.0,0
5912099,SETOR NOSSA SENHORA DA PIEDADE,1,175614.0,175614.0,1,1,0.005681369841395092,7.890791446382072e-05,12.076049377947253,12.076049377947253,0.6931471805599453,0.008403361344537815,1.0,0
4789005,PB,2,1171722.0,585861.0,2,2,0.0018148820326678765,0.017912096583287303,13.28083954594533,13.97398587306161,1.0986122886681098,0.01680672268907563,1.0,0
5320201,RJ,1,2893416.0,2893416.0,1,1,0.0006312633157105657,0.024777085141639708,14.877948714601025,14.877948714601025,0.6931471805599453,0.008403361344537815,1.0,0
4329101,GO,3,181500.0,60500.0,3,1,0.0009468949735658487,0.0982403535074568,11.010415172807951,12.109016442313738,1.3862943611198906,0.025210084033613446,0.3333333333333333,0
9001902,24230540,1,165000.0,165000.0,1,1,0.1207291091296457,7.890791446382072e-05,12.013706813470414,12.013706813470414,0.6931471805599453,0.008403361344537815,1.0,0
4789005,BA,1,16400.0,16400.0,1,1,0.0018148820326678765,0.0658881085772903,9.70509758756311,9.70509758756311,0.6931471805599453,0.008403361344537815,1.0,0
8299703,TO,1,6750.0,6750.0,1,1,0.00015781582892764143,0.004339935295510139,8.81744592104187,8.81744592104187,0.6931471805599453,0.008403361344537815,1.0,0
4930204,PB,1,714030.0,714030.0,1,1,0.0009468949735658487,0.017912096583287303,13.478681657746161,13.478681657746161,0.6931471805599453,0.008403361344537815,1.0,0
1412603,NOVA VILA JAIARA,3,270474.0,90158.0,3,1,0.0013414345458849523,0.00023672374339146217,11.40933005725907,12.507934951555773,1.3862943611198906,0.025210084033613446,0.3333333333333333,0
3329501,14061470,1,260000.0,260000.0,1,1,0.0007890791446382073,7.890791446382072e-05,12.468440756144114,12.468440756144114,0.6931471805599453,0.008403361344537815,1.0,0
3240099,RS,1,129040.0,129040.0,1,1,0.00039453957231910363,0.12214945158999448,11.767885462304092,11.767885462304092,0.6931471805599453,0.008403361344537815,1.0,0
8299707,SP,1,117600.0,117600.0,1,1,0.00023672374339146217,0.25392566874457506,11.67505281781187,11.67505281781187,0.6931471805599453,0.008403361344537815,1.0,0
8599699,76305000,1,259360.0,259360.0,1,1,0.019726978615955182,7.890791446382072e-05,12.465976192606734,12.465976192606734,0.6931471805599453,0.008403361344537815,1.0,0
4744004,GO,1,27000.0,27000.0,1,1,0.00031563165785528286,0.0982403535074568,10.203629181337648,10.203629181337648,0.6931471805599453,0.008403361344537815,1.0,0
4721103,SC,64,883575.0,13805.859375,33,1,0.005129014440148347,0.043951708356348144,9.532920803813223,13.691732588547627,4.174387269895637,0.2773109243697479,0.015625,1
7420001,GO,19,4990780.0,262672.63157894736,12,9,0.008916594334411741,0.0982403535074568,12.478667595983865,15.423102968506868,2.995732273553991,0.10084033613445378,0.47368421052631576,1
5320201,PA,1,66500.0,66500.0,1,1,0.0006312633157105657,0.003629764065335753,11.104972264124868,11.104972264124868,0.6931471805599453,0.008403361344537815,1.0,0
4924800,BA,147,586748653.0,3991487.4353741496,20,143,0.023751282253610038,0.0658881085772903,15.19967476075054,20.190107098700445,4.997212273764115,0.16806722689075632,0.9727891156462585,1
4754701,BA,5,1629234.0,325846.8,4,1,0.0016570662037402352,0.0658881085772903,12.694185680164924,14.30362113746205,1.791759469228055,0.03361344537815126,0.2,1
4930201,GO,21,7106623.0,338410.61904761905,11,7,0.009074410163339383,0.0982403535074568,12.732018241371865,15.77653786482344,3.091042453358316,0.09243697478991597,0.3333333333333333,1
9329899,RN,1,36000.0,36000.0,1,1,0.006075909413714196,0.012940897972066599,10.491301994830229,10.491301994830229,0.6931471805599453,0.008403361344537815,1.0,0
4781400,MG,39,10736188.0,275286.8717948718,30,13,0.012388542570819854,0.1032115521186775,12.525572635655628,16.189130742360554,3.6888794541139363,0.25210084033613445,0.3333333333333333,1
4755501,MG,5,339809.0,67961.8,3,1,0.00047344748678292435,0.1032115521186775,11.12671577564344,12.736141916862868,1.791759469228055,0.025210084033613446,0.2,1
1813001,75833424,5,125000.0,25000.0,1,1,0.0035508561508719324,0.00039453957231910363,10.12667110305036,11.736077016252437,1.791759469228055,0.008403361344537815,0.2,1
9329899,PR,12,3712490.0,309374.1666666667,5,5,0.006075909413714196,0.09776690602067388,12.642309951025485,15.12721363784773,2.5649493574615367,0.04201680672268908,0.4166666666666667,1
3313901,MG,2,902800.0,451400.0,2,2,0.0008679870591020279,0.1032115521186775,13.020111358693203,13.713257431589946,1.0986122886681098,0.01680672268907563,1.0,0
