CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis
2349499,PE,1,360000.0,360000.0,1,1
4763601,SP,28,1748598.0,62449.92857142857,10,7
4759899,BA,12,124897.0,10408.083333333334,7,1
4751201,SP,74,4985973.0,67378.01351351352,26,20
3299003,SP,22,671980.0,30544.545454545456,4,4
3314720,PR,7,3759400.0,537057.1428571428,1,1
8592999,RJ,28,2324200.0,83007.14285714286,14,15
9609299,RS,11,7327516.0,666137.8181818182,10,10
4712100,RS,8,858179.0,107272.375,4,3
8230001,MARIANO PROCOPIO,1,1613334.0,1613334.0,1,1
3314702,MG,2,506000.0,253000.0,1,1
4789002,SC,4,53120.0,13280.0,3,3
4530705,SP,1,742800.0,742800.0,1,1
9602502,SP,5,922650.0,184530.0,5,5
9529102,BA,12,70985142.0,5915428.5,10,10
4789001,MG,3,432150.0,144050.0,3,3
3319800,PE,1,598800.0,598800.0,1,1
8592999,PR,76,31639633.0,416310.9605263158,24,43
9001906,CE,3,324120.0,108040.0,3,3
